"","ME","ME.se","MAE","MAE.se","RMSE","RMSE.se","Rsq","Model"
"143",-0.000153289292352007,0.000642026723419886,0.0837107346932564,0.000422611665988762,0.111198689329228,0.000132818358275924,0.510894547645521,"Wet VI"
"144",0.000591759033629408,0.000575659208897153,0.0749388727226626,0.000379721252449869,0.0997055322203698,0.000108640520050955,0.60601711111232,"Dry SR"
"145",0.000568113125728323,0.000579534423295179,0.0753795496332762,0.000382695347689388,0.10037656831029,0.000110692417257407,0.601240826269843,"Dry SR+VI"
"146",5.12612387107182e-06,0.00060954041624599,0.0791729585507458,0.000403212529293116,0.105571977903036,0.000124737133025697,0.56166540533551,"Dry VI"
"147",0.00105105670727531,0.000545220319419606,0.0708222315317697,0.00036069090219389,0.0944376306937494,9.79750768068365e-05,0.646215702683804,"Dry & Wet SR"
"148",0.00119982280870158,0.000546587310042514,0.0709658098459999,0.000361832758935897,0.094676146332551,9.87112635464836e-05,0.644449871638748,"Dry & Wet SR+VI"
"149",8.52893317793587e-05,0.000592997582912654,0.0771523390871967,0.000391429473837076,0.102706805919622,0.000114946441845415,0.582821150872229,"Dry & Wet VI"
"150",0.00042382109096075,0.000809544447522299,0.109465197000114,0.00050588594769401,0.140213177965973,0.000178829818113127,0.238820184929066,"PALSAR"
"151",0.000827120207785012,0.000567712825500442,0.0738153108079246,0.000375080274075564,0.0983309468034581,0.000106489127519823,0.616412899055475,"PALSAR & Dry SR"
"152",0.0012213182541405,0.000581944613405886,0.075827765590306,0.000383451184488931,0.100799803032424,0.00011212071807968,0.596984370961793,"PALSAR & Wet SR"
"153",0.00101456822149344,0.000544582092448454,0.070772592369832,0.000360047464900527,0.0943266975560543,9.7801948963858e-05,0.647122768910622,"PALSAR & Wet+Dry SR"
"154",0.00125930246556929,0.000544514456943724,0.0706429246328108,0.000360818987182389,0.0943179339539078,9.80880872981103e-05,0.647121757649447,"All"
"155",0.000901481604108308,0.000591220581920306,0.0773035184022661,0.000387764260214401,0.102402963238937,0.000113897210137199,0.584195749977703,"Wet SR"
"156",0.000901313689383242,0.000595893973976378,0.0778206061248715,0.000391452456294066,0.103212358919613,0.0001157749803039,0.577654844106725,"Wet SR+VI"
"157",-0.00016870945124279,0.000641955415635415,0.0837096938406275,0.000422510398548916,0.111186361210702,0.000132750596127539,0.51099546118573,"Wet VI"
"158",0.000581126942736857,0.000575506684220448,0.0748929230520362,0.000379791704328746,0.0996790529655497,0.000108804477165669,0.606236083219416,"Dry SR"
